"title","reason","http_status","url"
"File:Kanak-durga-1.JPG","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/5/53/Kanak-durga-1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Om Symbol at Kanaka Durga Temple.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/4/41/Om_Symbol_at_Kanaka_Durga_Temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:View of Temple at Praksam Barage with Night Lights.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/4/4f/View_of_Temple_at_Praksam_Barage_with_Night_Lights.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Durga temple, Vijayawada (2).jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/0/03/Durga_temple%2C_Vijayawada_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:View of Kanaka Durga Temple on Indrakeeladri.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/d/d4/View_of_Kanaka_Durga_Temple_on_Indrakeeladri.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:KANAKADURGA TEMPLE VIJAYAWADA AP - panoramio.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/a/a7/KANAKADURGA_TEMPLE_VIJAYAWADA_AP_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:A View of Indrakeeladri Hill at Vijayawada 01.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/7/79/A_View_of_Indrakeeladri_Hill_at_Vijayawada_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Durga Temple (3819189235).jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/f/f4/Durga_Temple_%283819189235%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:KANAKADURGA TEMPLE-Dr. Murali Mohan Gurram (3).jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/1/18/KANAKADURGA_TEMPLE-Dr._Murali_Mohan_Gurram_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Vijayawada temple 02.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/2/28/Vijayawada_temple_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:KANAKADURGA TEMPLE VIJAYAWADA AP - panoramio (1).jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/6/6a/KANAKADURGA_TEMPLE_VIJAYAWADA_AP_-_panoramio_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Bezawada Kanaka Durga temple.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/0/05/Bezawada_Kanaka_Durga_temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:View of Temple from Boating area.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/3/3e/View_of_Temple_from_Boating_area.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Vijayawada temple03.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/e/ea/Vijayawada_temple03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Vjayawada temple.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/c/c8/Vjayawada_temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Durga temple,vijayawada.JPG","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/d/d6/Durga_temple%2Cvijayawada.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:View of Pushkar Ghats.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/c/c6/View_of_Pushkar_Ghats.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Kanaka Durga Gopuram, Vijayawada.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/c/c6/Kanaka_Durga_Gopuram%2C_Vijayawada.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
