asset_id,asset_code,asset_name,district,structure_length_m,route_class,lanes_count,built_year,bridge_age_years,bridge_type_context,highway_raw,railway_raw,reported_width_m_context_only,render_width_used_as_model_fact,shared_features_present,transfer_scope
217,AP_BR_OSM_W56683928,Howrah–Chennai main line (Godavari Arch Bridge),,2759.33,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
218,AP_BR_OSM_W56683933,Howrah - Chennai Main Line,,138.74,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
219,AP_BR_OSM_W56683934,Howrah–Chennai main line (Godavari Bridge),,2886.01,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
220,AP_BR_OSM_W58614320,Unnamed Road Bridge - OSM 58614320,,416.74,HIGH_CAPACITY,3.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
221,AP_BR_OSM_W58614326,Anakapalli Main Road,,719.47,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
222,AP_BR_OSM_W59991150,Unnamed Aqueduct Bridge - OSM 59991150,,601.69,,,,,AQUEDUCT,,,,NO,1,NO_HIGHWAY_CLASS
223,AP_BR_OSM_W62826655,Jaggayyapeta - Wyra Road,,780.45,ARTERIAL,2.0,,,ROAD,primary,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
224,AP_BR_OSM_W66763306,Unnamed Rail Bridge - OSM 66763306,,766.1,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
225,AP_BR_OSM_W66763316,Vatsavai - Penuganchiprolu Road,,756.47,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
226,AP_BR_OSM_W77770450,Unnamed Rail Bridge - OSM 77770450,,563.58,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
227,AP_BR_OSM_W77770452,Pulivendula-Tadipatri Road,,565.53,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
228,AP_BR_OSM_W80253639,Tenali - Narakoduru Road,,492.91,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
229,AP_BR_OSM_W85132314,Unnamed Road Bridge - OSM 85132314,,1306.06,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
230,AP_BR_OSM_W90800089,Unnamed Rail Bridge - OSM 90800089,,73.47,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
231,AP_BR_OSM_W90800129,Port Main Road Flyover,,1705.56,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
232,AP_BR_OSM_W90821557,Unnamed Rail Bridge - OSM 90821557,,60.36,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
233,AP_BR_OSM_W90821588,Unnamed Rail Bridge - OSM 90821588,,60.53,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
234,AP_BR_OSM_W90829916,Unnamed Pedestrian Bridge - OSM 90829916,,94.0,OTHER,,,,PEDESTRIAN,footway,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
235,AP_BR_OSM_W90829927,Unnamed Pedestrian Bridge - OSM 90829927,,132.65,OTHER,,,,PEDESTRIAN,footway,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
236,AP_BR_OSM_W91559451,Unnamed Road Bridge - OSM 91559451,,2580.37,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
237,AP_BR_OSM_W91559461,Unnamed Road Bridge - OSM 91559461,,394.29,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
238,AP_BR_OSM_W92192391,Howrah - Chennai Main Line,,749.59,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
239,AP_BR_OSM_W92192394,Nellore Bypass,,881.82,HIGH_CAPACITY,3.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
240,AP_BR_OSM_W92192399,Unnamed Road Bridge - OSM 92192399,,754.28,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
241,AP_BR_OSM_W97032099,Unnamed Road Bridge - OSM 97032099,,114.78,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
242,AP_BR_OSM_W97032104,SHAR Road,,13.88,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
243,AP_BR_OSM_W97032148,Unnamed Road Bridge - OSM 97032148,,23.42,LOCAL,,,,ROAD,service,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
244,AP_BR_OSM_W97032159,Unnamed Road Bridge - OSM 97032159,,63.15,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
245,AP_BR_OSM_W97032162,SHAR Road,,13.25,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
246,AP_BR_OSM_W97032221,Unnamed Road Bridge - OSM 97032221,,16.03,LOCAL,,,,ROAD,service,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
247,AP_BR_OSM_W97032233,Unnamed Road Bridge - OSM 97032233,,75.5,LOCAL,,,,ROAD,service,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
248,AP_BR_OSM_W97032248,Unnamed Road Bridge - OSM 97032248,,89.73,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
249,AP_BR_OSM_W97032273,Unnamed Road Bridge - OSM 97032273,,17.24,COLLECTOR,,,,ROAD,unclassified,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
250,AP_BR_OSM_W97471765,Unnamed Rail Bridge - OSM 97471765,,2754.7,,,,,RAIL,,abandoned,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
251,AP_BR_OSM_W97471800,Unnamed Pedestrian Bridge - OSM 97471800,,132.5,OTHER,,,,PEDESTRIAN,footway,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
252,AP_BR_OSM_W97689841,Unnamed Pedestrian Bridge - OSM 97689841,,66.65,OTHER,,,,PEDESTRIAN,footway,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
253,AP_BR_OSM_W97689881,Unnamed Rail Bridge - OSM 97689881,,900.02,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
254,AP_BR_OSM_W97689949,Kurnool - Cuddapah Canal,,241.4,,,,,AQUEDUCT,,,,NO,1,NO_HIGHWAY_CLASS
255,AP_BR_OSM_W97972166,Anakapalli - Visakhapatnam - Anandapuram Main Road - Old NH16 Road,,166.68,ARTERIAL,2.0,,,ROAD,primary,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
256,AP_BR_OSM_W100019087,Unnamed Rail Bridge - OSM 100019087,,126.41,,,,,RAIL,,disused,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
257,AP_BR_OSM_W100019088,Unnamed Rail Bridge - OSM 100019088,,303.64,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
258,AP_BR_OSM_W100019092,Unnamed Rail Bridge - OSM 100019092,,91.76,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
259,AP_BR_OSM_W100019102,Unnamed Rail Bridge - OSM 100019102,,303.63,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
260,AP_BR_OSM_W100019116,Unnamed Pedestrian Bridge - OSM 100019116,,69.68,OTHER,,,,PEDESTRIAN,footway,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
261,AP_BR_OSM_W100019135,Unnamed Rail Bridge - OSM 100019135,,167.18,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
262,AP_BR_OSM_W100019139,Unnamed Pedestrian Bridge - OSM 100019139,,211.42,OTHER,,,,PEDESTRIAN,footway,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
263,AP_BR_OSM_W101362718,Unnamed Road Bridge - OSM 101362718,,382.7,HIGH_CAPACITY,,,,ROAD,trunk,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
264,AP_BR_OSM_W101365727,Nagarjun Sagar Right Canal,,79.16,,,,,OTHER,,,,NO,1,NO_HIGHWAY_CLASS
265,AP_BR_OSM_W103390591,Unnamed Aqueduct Bridge - OSM 103390591,,82.11,,,,,AQUEDUCT,,,,NO,1,NO_HIGHWAY_CLASS
266,AP_BR_OSM_W103390664,Unnamed Aqueduct Bridge - OSM 103390664,,74.8,,,,,AQUEDUCT,,,,NO,1,NO_HIGHWAY_CLASS
267,AP_BR_OSM_W103405799,Unnamed Road Bridge - OSM 103405799,,281.03,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
268,AP_BR_OSM_W103405824,Unnamed Road Bridge - OSM 103405824,,1813.08,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
269,AP_BR_OSM_W103406574,Unnamed Road Bridge - OSM 103406574,,1261.72,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
270,AP_BR_OSM_W108339079,Unnamed Rail Bridge - OSM 108339079,,23.54,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
271,AP_BR_OSM_W114419893,Unnamed Rail Bridge - OSM 114419893,,672.1,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
272,AP_BR_OSM_W114419922,Unnamed Rail Bridge - OSM 114419922,,771.4,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
273,AP_BR_OSM_W114419939,Unnamed Rail Bridge - OSM 114419939,,1089.8,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
274,AP_BR_OSM_W129366446,Unnamed Road Bridge - OSM 129366446,,19.94,COLLECTOR,,,,ROAD,unclassified,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
275,AP_BR_OSM_W129571192,Adoni Main Road,,444.91,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
276,AP_BR_OSM_W131337058,Handri Bridge,,195.58,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
277,AP_BR_OSM_W135363908,Unnamed Road Bridge - OSM 135363908,,2728.2,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
278,AP_BR_OSM_W135664576,Unnamed Road Bridge - OSM 135664576,,77.28,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
279,AP_BR_OSM_W135953144,Unnamed Road Bridge - OSM 135953144,,63.12,HIGH_CAPACITY,,,,ROAD,trunk,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
280,AP_BR_OSM_W135953146,Unnamed Road Bridge - OSM 135953146,,324.01,HIGH_CAPACITY,,,,ROAD,trunk,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
281,AP_BR_OSM_W136146093,Mini BiPass Road,,280.44,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
282,AP_BR_OSM_W136146095,Nellore Bypass,,65.05,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
283,AP_BR_OSM_W136146096,Nellore Bypass,,80.68,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
284,AP_BR_OSM_W143344879,Vakalapudi - Edatam Road,,73.8,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
285,AP_BR_OSM_W144958144,Railway Footbridge,,24.81,OTHER,,,,PEDESTRIAN,footway,,2.0,NO,2,HIGHWAY_TRANSFER_CANDIDATE
286,AP_BR_OSM_W144958145,Unnamed Pedestrian Bridge - OSM 144958145,,3.95,OTHER,,,,PEDESTRIAN,steps,,2.0,NO,2,HIGHWAY_TRANSFER_CANDIDATE
287,AP_BR_OSM_W144958146,Unnamed Pedestrian Bridge - OSM 144958146,,4.13,OTHER,,,,PEDESTRIAN,steps,,2.0,NO,2,HIGHWAY_TRANSFER_CANDIDATE
288,AP_BR_OSM_W145115775,Unnamed Road Bridge - OSM 145115775,,12.75,LOCAL,,,,ROAD,residential,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
289,AP_BR_OSM_W145115782,Unnamed Road Bridge - OSM 145115782,,9.12,LOCAL,,,,ROAD,residential,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
290,AP_BR_OSM_W145225504,Unnamed Road Bridge - OSM 145225504,,10.43,LOCAL,,,,ROAD,residential,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
291,AP_BR_OSM_W145225510,Unnamed Road Bridge - OSM 145225510,,12.31,COLLECTOR,,,,ROAD,unclassified,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
292,AP_BR_OSM_W145225511,Unnamed Road Bridge - OSM 145225511,,22.16,LOCAL,,,,ROAD,residential,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
293,AP_BR_OSM_W145333221,Unnamed Road Bridge - OSM 145333221,,8.68,LOCAL,,,,ROAD,residential,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
294,AP_BR_OSM_W145333224,Unnamed Road Bridge - OSM 145333224,,4.12,LOCAL,,,,ROAD,residential,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
295,AP_BR_OSM_W145333226,Unnamed Road Bridge - OSM 145333226,,14.07,LOCAL,,,,ROAD,residential,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
296,AP_BR_OSM_W146363754,Howrah - Chennai Main Line,,1132.02,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
297,AP_BR_OSM_W147414150,Unnamed Pedestrian Bridge - OSM 147414150,,9.17,OTHER,,,,PEDESTRIAN,footway,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
298,AP_BR_OSM_W155576331,Unnamed Rail Bridge - OSM 155576331,,330.76,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
299,AP_BR_OSM_W155576342,Jaggayyapeta - Muktyala Road,,83.37,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
300,AP_BR_OSM_W156780992,Unnamed Road Bridge - OSM 156780992,,3.19,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
301,AP_BR_OSM_W156780993,Budawada Village  Road,,100.33,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
302,AP_BR_OSM_W158323674,Unnamed Rail Bridge - OSM 158323674,,947.91,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
303,AP_BR_OSM_W158346944,Unnamed Road Bridge - OSM 158346944,,40.81,COLLECTOR,,,,ROAD,unclassified,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
304,AP_BR_OSM_W162271302,Unnamed Road Bridge - OSM 162271302,,22.34,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
305,AP_BR_OSM_W165993499,Unnamed Rail Bridge - OSM 165993499,,28.69,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
306,AP_BR_OSM_W165993501,Unnamed Rail Bridge - OSM 165993501,,28.74,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
307,AP_BR_OSM_W165993503,Unnamed Rail Bridge - OSM 165993503,,22.11,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
308,AP_BR_OSM_W168733165,Unnamed Road Bridge - OSM 168733165,,82.22,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
309,AP_BR_OSM_W168815171,Unnamed Road Bridge - OSM 168815171,,21.56,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
310,AP_BR_OSM_W168815696,Chevitikallu - Vatsavai Road,,153.19,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
311,AP_BR_OSM_W168815972,Unnamed Road Bridge - OSM 168815972,,62.13,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
312,AP_BR_OSM_W168820633,Unnamed Road Bridge - OSM 168820633,,221.63,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
313,AP_BR_OSM_W168848673,Jaggayyapeta - Wyra Road,,17.44,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
314,AP_BR_OSM_W168848676,Unnamed Road Bridge - OSM 168848676,,16.35,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
315,AP_BR_OSM_W168848682,Unnamed Road Bridge - OSM 168848682,,24.92,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
316,AP_BR_OSM_W168865743,Unnamed Rail Bridge - OSM 168865743,,23.38,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
317,AP_BR_OSM_W170564465,Unnamed Rail Bridge - OSM 170564465,,137.78,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
318,AP_BR_OSM_W170564472,Unnamed Rail Bridge - OSM 170564472,,36.74,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
319,AP_BR_OSM_W170570037,Unnamed Road Bridge - OSM 170570037,,532.39,HIGH_CAPACITY,3.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
320,AP_BR_OSM_W170570040,Sri Kala Hasthi Main Road,,227.19,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
321,AP_BR_OSM_W170586649,Unnamed Road Bridge - OSM 170586649,,401.51,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
322,AP_BR_OSM_W170586653,Howrah - Chennai Main Line,,427.53,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
323,AP_BR_OSM_W170589379,Unnamed Road Bridge - OSM 170589379,,418.47,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
324,AP_BR_OSM_W170604976,Unnamed Road Bridge - OSM 170604976,,79.4,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
325,AP_BR_OSM_W171008421,Unnamed Rail Bridge - OSM 171008421,,30.69,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
326,AP_BR_OSM_W171010297,Unnamed Road Bridge - OSM 171010297,,31.71,LOCAL,,,,ROAD,service,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
327,AP_BR_OSM_W171028911,Unnamed Road Bridge - OSM 171028911,,53.23,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
328,AP_BR_OSM_W171980042,Unnamed Road Bridge - OSM 171980042,,41.97,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
329,AP_BR_OSM_W171980064,Unnamed Road Bridge - OSM 171980064,,114.39,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
330,AP_BR_OSM_W171980074,Unnamed Road Bridge - OSM 171980074,,29.62,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
331,AP_BR_OSM_W171980075,Unnamed Road Bridge - OSM 171980075,,221.69,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
332,AP_BR_OSM_W172037109,Vissannapeta - Lakshmipuram Road,,47.05,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
333,AP_BR_OSM_W172037111,Vissannapeta - Lakshmipuram Road,,42.46,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
334,AP_BR_OSM_W172332707,Unnamed Road Bridge - OSM 172332707,,39.82,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
335,AP_BR_OSM_W172332708,Unnamed Road Bridge - OSM 172332708,,95.41,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
336,AP_BR_OSM_W172340778,Unnamed Road Bridge - OSM 172340778,,19.62,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
337,AP_BR_OSM_W172340779,Unnamed Road Bridge - OSM 172340779,,14.46,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
338,AP_BR_OSM_W172433774,Unnamed Road Bridge - OSM 172433774,,37.18,COLLECTOR,,,,ROAD,unclassified,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
339,AP_BR_OSM_W172433793,Unnamed Road Bridge - OSM 172433793,,20.21,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
340,AP_BR_OSM_W172433794,Unnamed Road Bridge - OSM 172433794,,30.52,LOCAL,,,,ROAD,service,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
341,AP_BR_OSM_W172433797,Unnamed Road Bridge - OSM 172433797,,23.57,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
342,AP_BR_OSM_W172433804,Unnamed Road Bridge - OSM 172433804,,50.07,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
343,AP_BR_OSM_W172433807,Unnamed Road Bridge - OSM 172433807,,25.7,COLLECTOR,,,,ROAD,unclassified,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
344,AP_BR_OSM_W172433808,Unnamed Road Bridge - OSM 172433808,,27.27,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
345,AP_BR_OSM_W172438140,Unnamed Road Bridge - OSM 172438140,,24.18,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
346,AP_BR_OSM_W172438141,Unnamed Road Bridge - OSM 172438141,,25.14,COLLECTOR,,,,ROAD,unclassified,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
347,AP_BR_OSM_W172438145,Unnamed Road Bridge - OSM 172438145,,17.06,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
348,AP_BR_OSM_W172438147,Tuni - Kathipudi Road,,44.32,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
349,AP_BR_OSM_W172438153,Unnamed Road Bridge - OSM 172438153,,131.76,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
350,AP_BR_OSM_W172438155,Unnamed Road Bridge - OSM 172438155,,29.15,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
351,AP_BR_OSM_W172438157,Unnamed Road Bridge - OSM 172438157,,23.62,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
352,AP_BR_OSM_W172438160,Unnamed Road Bridge - OSM 172438160,,27.69,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
353,AP_BR_OSM_W172438163,Unnamed Road Bridge - OSM 172438163,,56.47,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
354,AP_BR_OSM_W172438170,Unnamed Road Bridge - OSM 172438170,,18.04,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
355,AP_BR_OSM_W172438175,Unnamed Road Bridge - OSM 172438175,,32.67,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
