asset_id,asset_code,asset_name,asset_type,feature_version,static_features,hydrology_features,has_direct_hydrology,generated_at
25,AP_DAM_WRIS_D00719,Kanigiri Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": ""TE"", ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Pennar"", ""dam_height_m"": 10.278, ""dam_length_m"": 10000.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-III"", ""spillway_type"": null, ""structure_code"": ""D00719"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": ""Completed"", ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.5, ""design_flood_source_value"": null, ""engineering_fields_available"": 5.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
26,AP_DAM_WRIS_D00721,Nellore Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Pennar"", ""dam_height_m"": null, ""dam_length_m"": 621.71, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-III"", ""spillway_type"": null, ""structure_code"": ""D00721"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": ""Completed"", ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.3, ""design_flood_source_value"": null, ""engineering_fields_available"": 3.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
27,AP_DAM_WRIS_AP01HH0062,Somasila Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01HH0062"", ""dam_type"": ""TE"", ""age_years"": 40.0, ""gate_type"": ""RD"", ""built_year"": 1986.0, ""gate_count"": 12.0, ""river_name"": ""Pennar"", ""dam_height_m"": 39.0, ""dam_length_m"": 352.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": ""OG"", ""structure_code"": ""D00750"", ""authority_level"": ""B2"", ""completion_year"": 1986.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 86.868, ""commencement_year"": null, ""spillway_length_m"": 236.21, ""dam_volume_source_value"": 1875.0, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 22375.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 22375.0}",{},False,2026-09-03T04:52:14.819262+00:00
28,AP_DAM_WRIS_AP01HH0130,Gorakallu Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01HH0130"", ""dam_type"": ""TE + PG"", ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": 7.0, ""river_name"": ""Mallama selavagu"", ""dam_height_m"": 48.5, ""dam_length_m"": 1731.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D00934"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": ""Under Construction"", ""spillway_level_m"": 257.4, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.8, ""design_flood_source_value"": null, ""engineering_fields_available"": 8.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 848.0}",{},False,2026-09-03T04:52:14.819262+00:00
29,AP_DAM_WRIS_D00963,"Paleru ,Owk Dam",dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": ""TE"", ""age_years"": 80.0, ""gate_type"": null, ""built_year"": 1946.0, ""gate_count"": 5.0, ""river_name"": ""Paleru"", ""dam_height_m"": 10.15, ""dam_length_m"": 622.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D00963"", ""authority_level"": ""B2"", ""completion_year"": 1946.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 222.15, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.8, ""design_flood_source_value"": null, ""engineering_fields_available"": 8.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
30,AP_DAM_WRIS_D01824,Veligonda Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": ""TE"", ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Krishna"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D01824"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.3, ""design_flood_source_value"": null, ""engineering_fields_available"": 3.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
31,AP_DAM_WRIS_AP01HH0149,Yeleru Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01HH0149"", ""dam_type"": ""TE + PG"", ""age_years"": 35.0, ""gate_type"": ""OT"", ""built_year"": 1991.0, ""gate_count"": 10.0, ""river_name"": ""Eleru"", ""dam_height_m"": 43.0, ""dam_length_m"": 2544.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": ""OG"", ""structure_code"": ""D01830"", ""authority_level"": ""B2"", ""completion_year"": 1991.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 76.56, ""commencement_year"": null, ""spillway_length_m"": 150.0, ""dam_volume_source_value"": 5080.0, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 8070.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 8070.0}",{},False,2026-09-03T04:52:14.819262+00:00
32,AP_DAM_WRIS_AP01MH0072,Andhra Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0072"", ""dam_type"": ""TE"", ""age_years"": 28.0, ""gate_type"": ""RD"", ""built_year"": 1998.0, ""gate_count"": 4.0, ""river_name"": ""Champavathi"", ""dam_height_m"": 22.0, ""dam_length_m"": 1890.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D01848"", ""authority_level"": ""B2"", ""completion_year"": 1998.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 138.5, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 1189.3074465, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 910.0}",{},False,2026-09-03T04:52:14.819262+00:00
33,AP_DAM_WRIS_AP01MH0129,Cheyyeru / Annamayya Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0129"", ""dam_type"": ""TE"", ""age_years"": 23.0, ""gate_type"": ""RD"", ""built_year"": 2003.0, ""gate_count"": 5.0, ""river_name"": ""Cheyyeru"", ""dam_height_m"": 25.0, ""dam_length_m"": 409.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": ""OG"", ""structure_code"": ""D01855"", ""authority_level"": ""B2"", ""completion_year"": 2003.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 189.6, ""commencement_year"": null, ""spillway_length_m"": 90.25, ""dam_volume_source_value"": 653.0, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 6795.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 8069.0}",{},False,2026-09-03T04:52:14.819262+00:00
34,AP_DAM_WRIS_AP01MH0021,Arniar Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0021"", ""dam_type"": ""TE"", ""age_years"": 68.0, ""gate_type"": ""LG"", ""built_year"": 1958.0, ""gate_count"": 3.0, ""river_name"": ""Araniar"", ""dam_height_m"": 15.0, ""dam_length_m"": 3600.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-III"", ""spillway_type"": ""OG"", ""structure_code"": ""D01858"", ""authority_level"": ""B2"", ""completion_year"": 1958.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 76.2, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 863.67, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 863.67}","{""manual_daily_reservoir_storage_mcm"": {""max"": 51.6832, ""min"": 0.0, ""std"": 15.468391245380875, ""mean"": 15.647033138893267, ""count"": 6343, ""latest"": 16.7138, ""latest_zscore"": 0.06896430560775263, ""freshness_days"": 702.8696142734259}, ""manual_daily_reservoir_water_level_m"": {""max"": 799.61229, ""min"": 0.0, ""std"": 18.644072666745412, ""mean"": 78.0698878411682, ""count"": 6403, ""latest"": 82.1436, ""latest_zscore"": 0.21849904962545583, ""freshness_days"": 702.8696142734259}}",True,2026-09-03T04:52:14.819262+00:00
35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01HH0127"", ""dam_type"": ""TE"", ""age_years"": 52.0, ""gate_type"": ""LG"", ""built_year"": 1974.0, ""gate_count"": 6.0, ""river_name"": ""Bahuda"", ""dam_height_m"": 31.77, ""dam_length_m"": 792.48, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D01861"", ""authority_level"": ""B2"", ""completion_year"": 1974.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 611.7, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 849.5, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 849.5}","{""manual_daily_reservoir_storage_mcm"": {""max"": 11.144, ""min"": 0.0, ""std"": 3.4810371138519978, ""mean"": 2.9798290842283777, ""count"": 7076, ""latest"": 6.1698, ""latest_zscore"": 0.9163852068907444, ""freshness_days"": 126.86961427342592}, ""manual_daily_reservoir_water_level_m"": {""max"": 614.172, ""min"": 0.0, ""std"": 59.62107794216993, ""mean"": 601.0964421074949, ""count"": 6391, ""latest"": 611.093527, ""latest_zscore"": 0.16767702358890357, ""freshness_days"": 125.86961427342592}}",True,2026-09-03T04:52:14.819262+00:00
36,AP_DAM_WRIS_AP01MH0018,Bhairavanithippa Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0018"", ""dam_type"": ""TE"", ""age_years"": 65.0, ""gate_type"": ""LG"", ""built_year"": 1961.0, ""gate_count"": 12.0, ""river_name"": ""Pedda Hagari(Vedavathi) River"", ""dam_height_m"": 20.0, ""dam_length_m"": 2235.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": ""OG"", ""structure_code"": ""D01875"", ""authority_level"": ""B2"", ""completion_year"": 1961.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 499.89, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 3635.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 3635.0}","{""manual_daily_reservoir_storage_mcm"": {""max"": 57.3065, ""min"": 0.0, ""std"": 16.069056597616097, ""mean"": 13.103231588107324, ""count"": 6895, ""latest"": 10.696, ""latest_zscore"": -0.14980540851816065, ""freshness_days"": 125.86961427342592}, ""manual_daily_reservoir_water_level_m"": {""max"": 5015.371486, ""min"": 0.0, ""std"": 183.7565407050144, ""mean"": 461.36555041070653, ""count"": 6893, ""latest"": 500.3292, ""latest_zscore"": 0.2120395249050867, ""freshness_days"": 125.86961427342592}}",True,2026-09-03T04:52:14.819262+00:00
37,AP_DAM_WRIS_D01879,Bhupathipalem Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": 5.0, ""river_name"": ""Seethapallivagu"", ""dam_height_m"": null, ""dam_length_m"": 748.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D01879"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": ""Completed"", ""spillway_level_m"": 196.5, ""commencement_year"": null, ""spillway_length_m"": 66.0, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.7, ""design_flood_source_value"": 1642.0, ""engineering_fields_available"": 7.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 1642.0}",{},False,2026-09-03T04:52:14.819262+00:00
38,AP_DAM_WRIS_AP01MH0073,Buggavanka Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0073"", ""dam_type"": ""TE + PG"", ""age_years"": 28.0, ""gate_type"": ""RD"", ""built_year"": 1998.0, ""gate_count"": 4.0, ""river_name"": ""Buggavanka"", ""dam_height_m"": 26.0, ""dam_length_m"": 2060.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": ""OG"", ""structure_code"": ""D01888"", ""authority_level"": ""B2"", ""completion_year"": 1998.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 180.0, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": 747.0, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 929.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 926.0}",{},False,2026-09-03T04:52:14.819262+00:00
39,AP_DAM_WRIS_AP01MH0026,Chinnarayaswamy Gudi /Chennaraya Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0026"", ""dam_type"": ""TE"", ""age_years"": 57.0, ""gate_type"": ""LG"", ""built_year"": 1969.0, ""gate_count"": null, ""river_name"": ""Papagni"", ""dam_height_m"": 15.0, ""dam_length_m"": 465.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D01908"", ""authority_level"": ""B2"", ""completion_year"": 1969.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 582.77935766, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.9, ""design_flood_source_value"": 897.64, ""engineering_fields_available"": 9.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 897.64}",{},False,2026-09-03T04:52:14.819262+00:00
